Frequency [Hz],Z_Re [Ohm],Z_Im [Ohm]
0.01,0.023158532002848353,-0.011150190796970999
0.012589254117941675,0.021778515632625128,-0.009812196731098177
0.015848931924611134,0.020614292520595448,-0.008541874025247418
0.0199526231496888,0.019650552389285467,-0.007356912786194023
0.025118864315095794,0.01886863576014906,-0.006267593703856918
0.03162277660168379,0.018249722867181933,-0.005280431606414893
0.039810717055349734,0.01777430418906688,-0.004400399223529402
0.05011872336272725,0.01742105643346246,-0.0036306092796883614
0.06309573444801933,0.017167146307737625,-0.002970770572022795
0.07943282347242814,0.016989999988027932,-0.0024162349645272087
0.1,0.016869377772488422,-0.0019584348955313533
0.12589254117941676,0.01678871804315348,-0.0015863395582179952
0.15848931924611143,0.01673545750284327,-0.0012881373949684394
0.19952623149688797,0.01670059320649282,-0.0010525714773296582
0.25118864315095807,0.01667790811297044,-0.0008697376725722325
0.31622776601683794,0.016663183373566075,-0.0007314220663348763
0.3981071705534973,0.016653552541851555,-0.000631150742630457
0.5011872336272725,0.016647024992056385,-0.0005641073723389932
0.6309573444801934,0.016642145293011168,-0.0005270178448282415
0.7943282347242817,0.01663774106648534,-0.0005180532458198163
1.0,0.0166327145869876,-0.0005367745871475014
1.2589254117941675,0.01662583567865488,-0.0005841276324044653
1.584893192461114,0.01661549068262343,-0.0006624839319788876
1.9952623149688808,0.01659933575050209,-0.0007757077977970343
2.5118864315095824,0.01657379567009406,-0.0009292038885515964
3.1622776601683795,0.016533345237200854,-0.0011298620832991125
3.981071705534973,0.01646951354893412,-0.0013857565871435078
5.011872336272725,0.016369579707400363,-0.0017053544054135674
6.309573444801936,0.01621504398698195,-0.002095820972061058
7.943282347242821,0.015980305345375503,-0.0025598193140373114
10.0,0.015632729136777112,-0.0030902371888593756
12.589254117941675,0.015136381231773702,-0.0036631567005516808
15.848931924611142,0.014462183808738344,-0.004231897850413418
19.952623149688808,0.013604654278804857,-0.00472871476853838
25.11886431509582,0.012597664107193344,-0.00508131363866456
31.622776601683793,0.01151405966579632,-0.00524168850598433
39.810717055349734,0.010440870795840058,-0.005208324353889058
50.11872336272725,0.00944500257859366,-0.005021643513751048
63.095734448019364,0.008556216721204296,-0.004736623107327989
79.43282347242821,0.00777614450139831,-0.004397427880552379
100.0,0.007097500850276478,-0.004031339229516648
125.89254117941688,0.006514451514118668,-0.0036572148854628382
158.48931924611142,0.006020415001288174,-0.0032930309513912502
199.52623149688787,0.00560311413064913,-0.002954609320720698
251.18864315095823,0.005245611132529172,-0.002650244135918132
316.22776601683796,0.004932467608823321,-0.0023791640614126237
398.1071705534977,0.004654613314091084,-0.0021359161985487927
501.18723362727246,0.004408647300818157,-0.0019163947581213746
630.9573444801943,0.004192205877665188,-0.0017201249791095109
794.3282347242822,0.004000532757485663,-0.0015478204816466168
1000.0,0.0038271556164747133,-0.001397908752612037
